citation,query,title,url
10,technical+indicators+predict+stock+price,The integration of fundamental and  technical analysis  in  predicting  the  stock price,https://journal.maranatha.edu/index.php/jmm/article/view/1611
60,technical+indicators+predict+stock+price,Deep learning for  stock market prediction  using event embedding and  technical indicators,https://ieeexplore.ieee.org/abstract/document/8541310/
975,technical+indicators+predict+stock+price,Predicting stock  and  stock price  index movement using trend deterministic data preparation and machine learning techniques,https://www.sciencedirect.com/science/article/pii/S0957417414004473
114,technical+indicators+predict+stock+price,Combining  technical analysis  with sentiment  analysis  for  stock price prediction,https://ieeexplore.ieee.org/abstract/document/6118898/
305,technical+indicators+predict+stock+price,Stock market analysis : A review and taxonomy of  prediction  techniques,https://www.mdpi.com/469480
18,technical+indicators+predict+stock+price,Stock  trend  prediction  using deep learning approach on  technical indicator  and industrial specific information,https://www.mdpi.com/1151226
123,technical+indicators+predict+stock+price,[HTML] [HTML]   Predicting  bitcoin returns using high-dimensional  technical indicators,https://www.sciencedirect.com/science/article/pii/S2405918818300928
184,technical+indicators+predict+stock+price,[PDF] [PDF]   Stock price forecasting  by hybrid machine learning techniques,http://www.iaeng.org/publication/IMECS2009/IMECS2009_pp755-760.pdf
32,technical+indicators+predict+stock+price,[HTML] [HTML]   Feature selection and deep neural networks for  stock price  direction  forecasting  using  technical analysis indicators,https://www.sciencedirect.com/science/article/pii/S266682702100030X
34,technical+indicators+predict+stock+price,[PDF] [PDF]   Stock  trend  prediction  with  technical indicators  using SVM,"http://cs229.stanford.edu/proj2014/Xinjie%20Di,%20Stock%20Trend%20Prediction%20with%20Technical%20Indicators%20using%20SVM.pdf"
112,technical+indicators+predict+stock+price,Convolution on neural networks for high-frequency trend  prediction  of cryptocurrency exchange  rates  using  technical indicators,https://www.sciencedirect.com/science/article/pii/S0957417420300750
21,technical+indicators+predict+stock+price,Impact of financial ratios and  technical analysis  on  stock price prediction  using random forests,https://ieeexplore.ieee.org/abstract/document/8270396/
120,technical+indicators+predict+stock+price,Kernel principal component  analysis  and support vector machines for  stock price prediction,https://www.tandfonline.com/doi/abs/10.1080/07408170600897486
12,technical+indicators+predict+stock+price,[PDF] [PDF]   Stock  indices  price prediction  based on  technical indicators  using deep learning model,https://www.researchgate.net/profile/Piyush-Shukla/publication/337800376_Stock_Indices_Price_Prediction_Based_on_Technical_Indicators_using_Deep_Learning_Model/links/5dea8c62299bf10bc3464186/Stock-Indices-Price-Prediction-Based-on-Technical-Indicators-using-Deep-Learning-Model.pdf
8,technical+indicators+predict+stock+price,Deep learning for the  prediction  of  stock market  trends,https://ieeexplore.ieee.org/abstract/document/9005523/
47,technical+indicators+predict+stock+price,A lstm-method for bitcoin  price prediction : A case study yahoo finance  stock market,https://ieeexplore.ieee.org/abstract/document/8984499/
216,technical+indicators+predict+stock+price,[HTML] [HTML]   A hybrid  stock trading  framework integrating  technical analysis  with machine learning techniques,https://www.sciencedirect.com/science/article/pii/S2405918815300179
66,technical+indicators+predict+stock+price,Combining the wisdom of crowds and  technical analysis  for financial  market prediction  using deep random subspace ensembles,https://www.sciencedirect.com/science/article/pii/S0925231218303540
86,technical+indicators+predict+stock+price,"Towards the fundamentals of  technical analysis : analysing the information content of high, low and close  prices",https://www.sciencedirect.com/science/article/pii/S0264999301000670
232,technical+indicators+predict+stock+price,Forecasting stock  index movement: A comparison of support vector machines and random forest,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=876544
34,technical+indicators+predict+stock+price,[PDF] [PDF]   A hybrid  forecasting  model for  stock market prediction .,ftp://www.ipe.ro/RePEc-old/cys/ecocyb_pdf/ecocyb3_2017p263-280.pdf
107,technical+indicators+predict+stock+price,[BOOK] [B]   Getting started in  technical analysis,https://books.google.com/books?hl=en&lr=&id=tmvDDwAAQBAJ&oi=fnd&pg=PR7&dq=technical+indicators+predict+stock+price&ots=G7FvIr0DXc&sig=HY54f7KJAWo3Nmlg3RXY_nUNfsI
116,technical+indicators+predict+stock+price,Text mining approaches for  stock market prediction,https://ieeexplore.ieee.org/abstract/document/5451705/
114,technical+indicators+predict+stock+price,[PDF] [PDF]   State-of-the-art in  stock prediction  techniques,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8bbc6b03515a9f7de2464897f0bc10a7cd0b8347
263,technical+indicators+predict+stock+price,[PDF] [PDF]   Using neural networks to  forecast stock market prices,https://cmps-people.ok.ubc.ca/rlawrenc/research/Papers/nn.pdf
124,technical+indicators+predict+stock+price,Short term  forecasting  with support vector machines and application to  stock price prediction,https://www.tandfonline.com/doi/abs/10.1080/03081070601068595
50,technical+indicators+predict+stock+price,ANN model to  predict stock prices  at  stock  exchange markets,https://arxiv.org/abs/1502.06434
109,technical+indicators+predict+stock+price,CAST: Using neural networks to improve  trading  systems based on  technical analysis  by means of the RSI financial  indicator,https://www.sciencedirect.com/science/article/pii/S0957417411004313
11,technical+indicators+predict+stock+price,Exploring the effectiveness of deep neural networks with  technical analysis  applied to  stock market prediction,http://www.doiserbia.nb.rs/Article.aspx?ID=1820-02142100002L
45,technical+indicators+predict+stock+price,[PDF] [PDF]   Investigation of Some  Technical Indexes  in  Stock Forecasting  Using Neural Networks.,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=a9173d1142c4d86d7b533b920611cb5363250b33
30,technical+indicators+predict+stock+price,The efficacy of neural networks and simple  technical indicators  in  predicting stock  markets,https://ieeexplore.ieee.org/abstract/document/4420595/
31,technical+indicators+predict+stock+price,Predict stock market  behavior: Role of machine learning algorithms,https://link.springer.com/chapter/10.1007/978-981-10-7245-1_38
21,technical+indicators+predict+stock+price,Forecasting stock price  directional movements using  technical indicators : investigating window size effects on one-step-ahead  forecasting,https://ieeexplore.ieee.org/abstract/document/6924093/
213,technical+indicators+predict+stock+price,A bat-neural network multi-agent system (BNNMAS) for  stock price prediction : Case study of DAX  stock price,https://www.sciencedirect.com/science/article/pii/S1568494614006723
71,technical+indicators+predict+stock+price,Analysis  of look back period for  stock price prediction  with RNN variants: A case study on banking sector of NEPSE,https://www.sciencedirect.com/science/article/pii/S1877050920308851
94,technical+indicators+predict+stock+price,[PDF] [PDF]   Machine learning techniques for  stock prediction,http://ganj-ie.iust.ac.ir:8081/images/6/62/MachineLearningTechniquesforStockPrediction.pdf
96,technical+indicators+predict+stock+price,[PDF] [PDF]   … -linear autoregressive with exogeneous input (NARX) Bitcoin  price prediction  model using PSO-optimized parameters and moving average  technical indicators,https://www.ajol.info/index.php/jfas/article/view/165614/155073
85,technical+indicators+predict+stock+price,Stock market forecasting  using LASSO linear regression model,https://link.springer.com/chapter/10.1007/978-3-319-13572-4_31
46,technical+indicators+predict+stock+price,[HTML] [HTML]   Predicting stock price  trend using MACD optimized by historical volatility,https://www.hindawi.com/journals/mpe/2018/9280590/abs/
40,technical+indicators+predict+stock+price,Predicting stock market  trends using random forests: A sample of the Zagreb  stock  exchange,https://ieeexplore.ieee.org/abstract/document/7160456/
47,technical+indicators+predict+stock+price,"Forecasting stock prices  using a hybrid deep learning model integrating attention mechanism, multi-layer perceptron, and bidirectional long-short term memory neural …",https://ieeexplore.ieee.org/abstract/document/9122554/
1,technical+indicators+predict+stock+price,Moroccan  Stock Price Prediction  Using Trend  Technical Indicators : A Comparison Study,https://link.springer.com/chapter/10.1007/978-3-031-27440-4_37
24,technical+indicators+predict+stock+price,[BOOK] [B]   Predicting stock market  indices movements,https://www.witpress.com/elibrary/wit-transactions-on-modelling-and-simulation/38/14131
42,technical+indicators+predict+stock+price,[HTML] [HTML]   Deep learning for  price  movement  prediction  using convolutional neural network and long short-term memory,https://www.hindawi.com/journals/MPE/2020/2746845/
150,technical+indicators+predict+stock+price,Integration of nonlinear independent component  analysis  and support vector regression for  stock price forecasting,https://www.sciencedirect.com/science/article/pii/S0925231212006066
204,technical+indicators+predict+stock+price,Incorporating  stock prices  and news sentiments for  stock market prediction : A case of Hong Kong,https://www.sciencedirect.com/science/article/pii/S0306457319307952
37,technical+indicators+predict+stock+price,Predicting  next  trading  day closing  price  of Qatar exchange index using  technical indicators  and artificial neural networks,https://onlinelibrary.wiley.com/doi/abs/10.1002/isaf.1358
12,technical+indicators+predict+stock+price,Embedding four medium-term  technical indicators  to an intelligent  stock trading  fuzzy system for  predicting : a portfolio management approach,https://link.springer.com/article/10.1007/s10614-020-10016-2
12,technical+indicators+predict+stock+price,[PDF] [PDF]   A study on  technical indicators  in  stock price  movement  prediction  using decision tree algorithms,https://www.academia.edu/download/51057076/Z05120207212.pdf
156,technical+indicators+predict+stock+price,[PDF] [PDF]   Predicting stock market  behavior using data mining technique and news sentiment  analysis,https://www.mecs-press.org/ijisa/ijisa-v9-n7/IJISA-V9-N7-3.pdf
37,technical+indicators+predict+stock+price,"[PDF] [PDF]   Stock market prediction  using artificial neural networks. Case Study of TAL1T, Nasdaq OMX Baltic  Stock",http://www.dbjournal.ro/archive/20/20_2.pdf
159,technical+indicators+predict+stock+price,An adaptive  stock  index  trading  decision support system,https://www.sciencedirect.com/science/article/pii/S0957417416301919
425,technical+indicators+predict+stock+price,Forecasting stock market  short-term trends using a neuro-fuzzy based methodology,https://www.sciencedirect.com/science/article/pii/S0957417409001948
253,technical+indicators+predict+stock+price,[HTML] [HTML]   Forecasting stock prices  with a feature fusion LSTM-CNN model using different representations of the same data,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0212320
42,technical+indicators+predict+stock+price,Optimal feature selection of  technical indicator  and  stock prediction  using machine learning technique,https://link.springer.com/chapter/10.1007/978-981-13-8300-7_22
230,technical+indicators+predict+stock+price,Investment using  technical analysis  and fuzzy logic,https://www.sciencedirect.com/science/article/pii/S0165011401001695
9,technical+indicators+predict+stock+price,Hybrid multilayer perceptron neural network with grey wolf optimization for  predicting stock market  index,http://amfa.iau-arak.ac.ir/article_681483.html
23,technical+indicators+predict+stock+price,[PDF] [PDF]   Stock  direction  forecasting  techniques: an empirical study combining machine learning system with  market indicators  in the indian context,https://www.academia.edu/download/37754400/Stock_Direction_Forecasting_Techniques.pdf
56,technical+indicators+predict+stock+price,An investigation of the hybrid  forecasting  models for  stock price  variation in Taiwan,https://www.tandfonline.com/doi/abs/10.1080/10170660409509416
46,technical+indicators+predict+stock+price,The impact of data normalization on  stock market prediction : using SVM and  technical indicators,https://link.springer.com/chapter/10.1007/978-981-10-2777-2_7
62,technical+indicators+predict+stock+price,How rewarding is  technical analysis ? Evidence from Athens  Stock  Exchange,https://link.springer.com/article/10.1007/BF02941226
121,technical+indicators+predict+stock+price,[BOOK] [B]   The evolution of  technical analysis : Financial  prediction  from Babylonian tablets to Bloomberg terminals,https://books.google.com/books?hl=en&lr=&id=aJv9DwAAQBAJ&oi=fnd&pg=PR7&dq=technical+indicators+predict+stock+price&ots=crqGzZZXrS&sig=Uqzi2WaALNkR2E6231zy2N06T_o
93,technical+indicators+predict+stock+price,[HTML] [HTML]   Artificial neural network and genetic algorithm hybrid intelligence for  predicting  Thai  stock price  index trend,https://www.hindawi.com/journals/CIN/2016/3045254/
83,technical+indicators+predict+stock+price,[HTML] [HTML]   Is deep learning for image recognition applicable to  stock market prediction ?,https://www.hindawi.com/journals/COMPLEXITY/2019/4324878/
85,technical+indicators+predict+stock+price,A hybrid fuzzy time series model based on ANFIS and integrated nonlinear feature selection method for  forecasting stock,https://www.sciencedirect.com/science/article/pii/S0925231216303058
86,technical+indicators+predict+stock+price,"A comprehensive survey on deep neural networks for  stock market : The need, challenges, and future directions",https://www.sciencedirect.com/science/article/pii/S0957417421002414
72,technical+indicators+predict+stock+price,Stock market prediction  of S&P 500 and DJIA using bacterial foraging optimization technique,https://ieeexplore.ieee.org/abstract/document/4424794/
318,technical+indicators+predict+stock+price,[HTML] [HTML]   Web search queries can  predict stock market  volumes,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0040014
28,technical+indicators+predict+stock+price,Stock market prediction  using hybrid approach,https://ieeexplore.ieee.org/abstract/document/7813694/
62,technical+indicators+predict+stock+price,Stock market prediction  by a mixture of genetic-neural experts,https://www.worldscientific.com/doi/abs/10.1142/S0218001402001861
61,technical+indicators+predict+stock+price,[PDF] [PDF]   Comparison of  stock price prediction  models using pre-trained neural networks,https://irojournals.com/jucct/V3/I2/05.pdf
20,technical+indicators+predict+stock+price,[PDF] [PDF]   Forecasting  of Indian  stock market  by effective macro-economic factors and stochastic model,http://www.scienpress.com/Upload/JSEM/Vol%201_2_4.pdf
184,technical+indicators+predict+stock+price,Stock market forecasting : artificial neural network and linear regression comparison in an emerging  market,https://search.proquest.com/openview/e989c03fafdfa264ff493dd906e7edf4/1?pq-origsite=gscholar&cbl=34285
119,technical+indicators+predict+stock+price,A deep learning based  stock trading  model with 2-D CNN trend detection,https://ieeexplore.ieee.org/abstract/document/8285188/
16,technical+indicators+predict+stock+price,Fuzzy-neural model with hybrid  market indicators  for  stock forecasting,https://www.inderscienceonline.com/doi/abs/10.1504/IJEF.2011.041342
1,technical+indicators+predict+stock+price,Learning-based  stock  trending  prediction  by incorporating  technical indicators  and social media sentiment,https://link.springer.com/article/10.1007/s12559-023-10125-8
148,technical+indicators+predict+stock+price,Prediction  models for Indian  stock market,https://www.sciencedirect.com/science/article/pii/S1877050916311619
97,technical+indicators+predict+stock+price,An automated framework for incorporating news into  stock trading  strategies,https://ieeexplore.ieee.org/abstract/document/6574843/
38,technical+indicators+predict+stock+price,Forecasting stock market  volatility: The role of  technical  variables,https://www.sciencedirect.com/science/article/pii/S0264999318309398
573,technical+indicators+predict+stock+price,A Bayesian regularized artificial neural network for  stock market forecasting,https://www.sciencedirect.com/science/article/pii/S0957417413002509
7,technical+indicators+predict+stock+price,[HTML] [HTML]   A fusion framework for  forecasting  financial  market  direction using enhanced ensemble models and  technical indicators,https://www.mdpi.com/1320748
182,technical+indicators+predict+stock+price,[PDF] [PDF]   A machine learning model for  stock market prediction,https://arxiv.org/pdf/1402.7351
46,technical+indicators+predict+stock+price,[HTML] [HTML]   Predicting stock market  index using LSTM,https://www.sciencedirect.com/science/article/pii/S2666827022000378
10,technical+indicators+predict+stock+price,Forecasting stock market  trends,https://www.degruyter.com/document/doi/10.1515/eqc-2015-6003/html
9,technical+indicators+predict+stock+price,Predicting stock price  trend using candlestick chart blending technique,https://ieeexplore.ieee.org/abstract/document/8622402/
30,technical+indicators+predict+stock+price,Stock market prediction  using subtractive clustering for a neuro fuzzy hybrid approach,https://link.springer.com/article/10.1007/s10586-017-1321-6
192,technical+indicators+predict+stock+price,Efficient  prediction  of  stock market  indices using adaptive bacterial foraging optimization (ABFO) and BFO based techniques,https://www.sciencedirect.com/science/article/pii/S0957417409000499
22,technical+indicators+predict+stock+price,Predicting stock  movements based on financial news with segmentation,https://www.sciencedirect.com/science/article/pii/S095741742030765X
5,technical+indicators+predict+stock+price,A Binary  Stock  Event Model for  stock  trends  forecasting :  Forecasting stock  trends via a simple and accurate approach with machine learning,https://ieeexplore.ieee.org/abstract/document/6121740/
133,technical+indicators+predict+stock+price,Stock price prediction  using news sentiment  analysis,https://ieeexplore.ieee.org/abstract/document/8848203/
35,technical+indicators+predict+stock+price,[PDF] [PDF]   Predicting  future trends in  stock market  by decision tree rough-set based hybrid system with HHMM,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=29a7e1e1386db50bbb22710d63eb820f9c86ae1b
18,technical+indicators+predict+stock+price,Feature learning for  stock price prediction  shows a significant role of analyst rating,https://www.mdpi.com/1016362
547,technical+indicators+predict+stock+price,Stock market prediction  of S&P 500 via combination of improved BCO approach and BP neural network,https://www.sciencedirect.com/science/article/pii/S095741740800852X
12,technical+indicators+predict+stock+price,The study on the relationship among  technical indicators  and the development of  stock  index  prediction  system,https://ieeexplore.ieee.org/abstract/document/1226799/
179,technical+indicators+predict+stock+price,Non-linear financial time series  forecasting -Application to the Bel 20  stock market  index,https://ejess.edpsciences.org/articles/ejess/abs/2000/01/verleyse/verleyse.html
6,technical+indicators+predict+stock+price,Stock market forecasting  by using support vector machines,https://link.springer.com/chapter/10.1007/978-3-030-49724-8_11
43,technical+indicators+predict+stock+price,Predicting stock  trend using an integrated term frequency–inverse document frequency-based feature weight matrix with neural networks,https://www.sciencedirect.com/science/article/pii/S1568494620306220
148,technical+indicators+predict+stock+price,A survey of forex and  stock price prediction  using deep learning,https://www.mdpi.com/983750
89,technical+indicators+predict+stock+price,Finding  trading  patterns in  stock market  data,https://ieeexplore.ieee.org/abstract/document/1333627/
55,technical+indicators+predict+stock+price,[PDF] [PDF]   A linear regression approach to  prediction  of  stock market trading  volume: a case study,https://www.academia.edu/download/57159517/4313ijmvsc03.pdf
118,technical+indicators+predict+stock+price,An intelligent short term  stock trading  fuzzy system for assisting investors in portfolio management,https://www.sciencedirect.com/science/article/pii/S0957417415005230
19,technical+indicators+predict+stock+price,Short-term trend  prediction  of foreign exchange  rates  with a Neural-Network based ensemble of financial  technical indicators,https://www.worldscientific.com/doi/abs/10.1142/S0218213013500164
31,technical+indicators+predict+stock+price,Constructing a  stock - price forecast  CNN model with gold and crude oil  indicators,https://www.sciencedirect.com/science/article/pii/S1568494621006815
56,technical+indicators+predict+stock+price,[HTML] [HTML]   Forecasting  directional movement of Forex data using LSTM with  technical  and macroeconomic  indicators,https://link.springer.com/article/10.1186/s40854-020-00220-2
27,technical+indicators+predict+stock+price,[HTML] [HTML]   LSTM-based sentiment  analysis  for  stock price forecast,https://peerj.com/articles/cs-408/
359,technical+indicators+predict+stock+price,Technical analysis : An asset allocation perspective on the use of moving averages,https://www.sciencedirect.com/science/article/pii/S0304405X09000361
290,price+based+indicators+stock+prediciton,Neural networks for  technical analysis : a study on KLCI,https://www.worldscientific.com/doi/abs/10.1142/S0219024999000145
54,price+based+indicators+stock+prediciton,A robust predictive model for  stock price forecasting,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3068204
12,price+based+indicators+stock+prediciton,[PDF] [PDF]   Stock Market Prediction  with various  technical indicators  using Neural Network techniques,https://www.researchgate.net/profile/S-R-Tandan/publication/321625081_Stock_Market_Prediction_with_Various_Technical_Indicators_Using_Neural_Network_Techniques/links/5e3a622992851c7f7f1d0b9b/Stock-Market-Prediction-with-Various-Technical-Indicators-Using-Neural-Network-Techniques.pdf
19,price+based+indicators+stock+prediciton,A fuzzy neural network combined with  technical indicators  and its application to Baltic Dry Index  forecasting,https://www.tandfonline.com/doi/abs/10.1080/20464177.2018.1495886
1061,price+based+indicators+stock+prediciton,[CITATION] [C]   Technical analysis  of  stock  trends,
113,price+based+indicators+stock+prediciton,A hybrid model integrating deep learning with investor sentiment  analysis  for  stock price prediction,https://www.sciencedirect.com/science/article/pii/S0957417421004607
62,price+based+indicators+stock+prediciton,Local and global characteristics-based kernel hybridization to increase optimal support vector machine performance for  stock market prediction,https://link.springer.com/article/10.1007/s10115-018-1263-1
21,price+based+indicators+stock+prediciton,An improved  stock price prediction  using hybrid  market indicators,http://eprints.lmu.edu.ng/3150/
147,price+based+indicators+stock+prediciton,[HTML] [HTML]   Study on the  prediction  of  stock price  based on the associated network model of LSTM,https://link.springer.com/article/10.1007/s13042-019-01041-1
56,price+based+indicators+stock+prediciton,"[PDF] [PDF]   Comparative study between FPA, BA, MCS, ABC, and PSO algorithms in training and optimizing of LS-SVM for  stock market prediction",https://www.researchgate.net/profile/Mustafa-Abdul-Salam/publication/274511603_Comparative_Study_between_FPA_BA_MCS_ABC_and_PSO_Algorithms_in_Training_and_Optimizing_of_LS-SVM_for_Stock_Market_Prediction/links/5521bf740cf2f9c130528546/Comparative-Study-between-FPA-BA-MCS-ABC-and-PSO-Algorithms-in-Training-and-Optimizing-of-LS-SVM-for-Stock-Market-Prediction.pdf
65,price+based+indicators+stock+prediciton,Fundamental framework for “ technical analysis ” of  market prices,https://link.springer.com/article/10.1007/s100510051067
32,price+based+indicators+stock+prediciton,Forecasting stock prices  using social media  analysis,https://ieeexplore.ieee.org/abstract/document/8328513/
79,price+based+indicators+stock+prediciton,Heuristic based  trading  system on Forex data using  technical indicator  rules,https://www.sciencedirect.com/science/article/pii/S1568494616300369
140,price+based+indicators+stock+prediciton,An integrated framework of deep learning and knowledge graph for  prediction  of  stock price  trend: An application in Chinese  stock  exchange  market,https://www.sciencedirect.com/science/article/pii/S1568494620301459
219,price+based+indicators+stock+prediciton,The profitability of  technical analysis : A review,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=603481
66,price+based+indicators+stock+prediciton,Prediction  of  stock price  direction using a hybrid GA-XGBoost algorithm with a three-stage feature engineering process,https://www.sciencedirect.com/science/article/pii/S0957417421010988
375,price+based+indicators+stock+prediciton,"The impact of microblogging data for  stock market prediction : Using Twitter to  predict  returns, volatility,  trading  volume and survey sentiment indices",https://www.sciencedirect.com/science/article/pii/S0957417416307187
11,price+based+indicators+stock+prediciton,Sutte  Indicator : an Approach to  Predicting  the Direction of  Stock Market  Movement,http://eprints.unm.ac.id/2690/
124,price+based+indicators+stock+prediciton,Using volume weighted support vector machines with walk forward testing and feature selection for the purpose of creating  stock trading  strategy,https://www.sciencedirect.com/science/article/pii/S0957417414006228
26,price+based+indicators+stock+prediciton,[PDF] [PDF]   Application of neural network in  analysis  of  stock market prediction,http://www.ijcset.com/docs/IJCSET12-03-04-002.pdf
21,price+based+indicators+stock+prediciton,Application of integrated data mining techniques in  stock market forecasting,https://www.tandfonline.com/doi/abs/10.1080/23322039.2014.929505
20,price+based+indicators+stock+prediciton,Ensemble model for  stock price  movement trend  prediction  on different investing periods,https://ieeexplore.ieee.org/abstract/document/7820478/
11,price+based+indicators+stock+prediciton,Forecasting Stock Market  Returns Via Monte Carlo Simulation: The Case of Amman  Stock  Exchange,https://archives.ju.edu.jo/index.php/JJBA/article/view/9997
20,price+based+indicators+stock+prediciton,Multiple kernel learning for  stock price  direction  prediction,https://ieeexplore.ieee.org/abstract/document/7012901/
119,price+based+indicators+stock+prediciton,A PSO based integrated functional link net and interval type-2 fuzzy logic system for  predicting stock market  indices,https://www.sciencedirect.com/science/article/pii/S1568494611003930
352,price+based+indicators+stock+prediciton,A comparison between Fama and French's model and artificial neural networks in  predicting  the Chinese  stock market,https://www.sciencedirect.com/science/article/pii/S030505480400067X
23,price+based+indicators+stock+prediciton,Automated  trading  point  forecasting  based on bicluster mining and fuzzy inference,https://ieeexplore.ieee.org/abstract/document/8667357/
26,price+based+indicators+stock+prediciton,Forecasting stock  return volatility: The role of shrinkage approaches in a data‐rich environment,https://onlinelibrary.wiley.com/doi/abs/10.1002/for.2841
50,price+based+indicators+stock+prediciton,Computationally efficient FLANN-based intelligent  stock price prediction  system,https://ieeexplore.ieee.org/abstract/document/5178594/
208,price+based+indicators+stock+prediciton,Predicting stock  index increments by neural networks: The role of  trading  volume under different horizons,https://www.sciencedirect.com/science/article/pii/S0957417407002345
687,price+based+indicators+stock+prediciton,Forecasting stock  returns,https://www.sciencedirect.com/science/article/pii/B9780444536839000062
41,price+based+indicators+stock+prediciton,"Application of LSTM, GRU and ICA for  stock price prediction",https://link.springer.com/chapter/10.1007/978-981-13-1747-7_46
21,price+based+indicators+stock+prediciton,Automated  stock price prediction  and  trading  framework for Nifty intraday  trading,https://ieeexplore.ieee.org/abstract/document/6726675/
29,price+based+indicators+stock+prediciton,An efficient equilibrium optimizer with support vector regression for  stock market prediction,https://link.springer.com/article/10.1007/s00521-021-06580-9
102,price+based+indicators+stock+prediciton,"Fusion in  stock market prediction : a decade survey on the necessity, recent developments, and potential future directions",https://www.sciencedirect.com/science/article/pii/S1566253520303481
26,price+based+indicators+stock+prediciton,[HTML] [HTML]   Application of support vector regression in indonesian  stock price prediction  with feature selection using particle swarm optimisation,https://www.hindawi.com/journals/mse/2019/8962717/
203,price+based+indicators+stock+prediciton,Deep learning for  stock market prediction,https://www.mdpi.com/784476
34,price+based+indicators+stock+prediciton,Predicting  next day direction of  stock price  movement using machine learning methods with persistent homology: Evidence from Kuala Lumpur  Stock  Exchange,https://www.sciencedirect.com/science/article/pii/S1568494620303628
55,price+based+indicators+stock+prediciton,Predicting stock price  trends based on financial news articles and using a novel twin support vector machine with fuzzy hyperplane,https://www.sciencedirect.com/science/article/pii/S1568494620307444
51,price+based+indicators+stock+prediciton,Stock price prediction  using hybrid soft computing models incorporating parameter tuning and input variable selection,https://link.springer.com/article/10.1007/s00521-017-3089-2
25,price+based+indicators+stock+prediciton,Dimension reduction of  technical indicators  for the  prediction  of financial time series-Application to the BEL20  Market  Index,https://ejess.edpsciences.org/articles/ejess/abs/2001/02/lendasse/lendasse.html
167,price+based+indicators+stock+prediciton,An ensemble of LSTM neural networks for high‐frequency  stock market  classification,https://onlinelibrary.wiley.com/doi/abs/10.1002/for.2585
49,price+based+indicators+stock+prediciton,Grey Wolf optimization-Elman neural network model for  stock price prediction,https://link.springer.com/article/10.1007/s00500-020-05174-2
11,price+based+indicators+stock+prediciton,Application of cloud model in qualitative  forecasting  for  stock market  trends,https://www.mdpi.com/819098
84,price+based+indicators+stock+prediciton,[BOOK] [B]   Essentials of  technical analysis  for financial markets,https://books.google.com/books?hl=en&lr=&id=202I0ZWA6tIC&oi=fnd&pg=PR13&dq=technical+indicators+predict+stock+price&ots=kjbWIva8C6&sig=fKngnXGYycLzyPROEWnF2bajWHs
215,price+based+indicators+stock+prediciton,[PDF] [PDF]   Financial time series  forecasting  with machine learning techniques: a survey.,https://pure.bond.edu.au/ws/files/27498056/Financial_time_series_forecasting_with_machine_learning_techniques.pdf
37,price+based+indicators+stock+prediciton,Financial markets  prediction  with deep learning,https://ieeexplore.ieee.org/abstract/document/8614047/
84,price+based+indicators+stock+prediciton,Predicting  Australian  stock market  index using neural networks exploiting dynamical swings and intermarket influences,https://search.informit.org/doi/abs/10.3316/INFORMIT.015290427438445
7,price+based+indicators+stock+prediciton,Stock market prediction  using  technical analysis,http://www.doiserbia.nb.rs/Article.aspx?ID=0013-32640670125B
33,price+based+indicators+stock+prediciton,A hybrid two-stage financial  stock forecasting  algorithm based on clustering and ensemble learning,https://link.springer.com/article/10.1007/s10489-020-01766-5
76,price+based+indicators+stock+prediciton,[HTML] [HTML]   Predictability of machine learning techniques to  forecast  the trends of  market  index  prices : Hypothesis testing for the Korean  stock  markets,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0188107
174,price+based+indicators+stock+prediciton,[PDF] [PDF]   Financial  stock market forecast  using data mining techniques,https://www.researchgate.net/profile/Paliah-Arumugam/publication/44260645_Financial_Stock_Market_Forecast_using_Data_Mining_Techniques/links/5779fb7b08ae4645d611f534/Financial-Stock-Market-Forecast-using-Data-Mining-Techniques.pdf
44,price+based+indicators+stock+prediciton,An integrated  stock market forecasting  model using neural networks,https://www.inderscienceonline.com/doi/abs/10.1504/IJBFMI.2008.020813
46,price+based+indicators+stock+prediciton,[PDF] [PDF]   Stock market prediction  performance of neural networks: A literature review,https://pdfs.semanticscholar.org/a7b5/27bab4a0bf10dbe6c867c1ec77a3d5e74fc5.pdf
33,price+based+indicators+stock+prediciton,A  technical analysis  approach to tourism demand  forecasting,https://www.tandfonline.com/doi/abs/10.1080/13504850500065745
33,price+based+indicators+stock+prediciton,[HTML] [HTML]   Predicting stock market  movements using network science: An information theoretic approach,https://appliednetsci.springeropen.com/articles/10.1007/s41109-017-0055-y
3,price+based+indicators+stock+prediciton,Machine Learning Based Model to  Predict Stock Prices : A Survey,https://iopscience.iop.org/article/10.1088/1757-899X/1084/1/012019/meta
27,price+based+indicators+stock+prediciton,Deep learning with  stock indicators  and two-dimensional principal component  analysis  for closing  price prediction  system,https://ieeexplore.ieee.org/abstract/document/7883040/
508,price+based+indicators+stock+prediciton,An adaptive network-based fuzzy inference system (ANFIS) for the  prediction  of  stock market  return: the case of the Istanbul  stock  exchange,https://www.sciencedirect.com/science/article/pii/S0957417410003453
